,Sensation Seeking,Mindfulness,Impulsivity,Emotional Control,Reward Sensitivity,Goal-Directedness,Risk Perception,Eating Control,Ethical Risk-Taking,Social Risk-Taking,Financial Risk-Taking,Agreeableness
ten_item_personality_survey.conscientiousness,0.04466652765954235,0.2459606947701693,-0.28562705761106055,0.08704877176135019,0.09918297090816955,0.2899771337155962,0.04753786648580265,-0.0892766354413418,-0.04736775807916578,-0.07693558728395199,-0.06140740104986381,-0.06703613756908208
ten_item_personality_survey.emotional_stability,0.033856474024585664,0.06750016459534386,-0.009333774295787791,0.730292197100405,0.020155826198407965,0.008885820501012356,-0.015562210818956819,-0.05823630874803338,-0.01836374260615668,0.007242371194940736,0.03152888682296759,0.0965904804376713
ten_item_personality_survey.extraversion,-0.02876626807755541,0.18615015655644748,0.2812905828543464,0.250527906429764,0.32503494481224454,0.1062750785126036,0.030978009818964952,-0.03594813654944772,0.033241030177664804,0.016531935127290166,0.047807621912262774,0.07076209120202269
ten_item_personality_survey.openness,0.12518052161178594,0.07126793591623852,-0.1055951211945043,0.0556143536918626,0.4782738262599663,-0.15975841460619805,0.034685618703389556,-0.18323988991612863,-0.052322055360999375,0.25195929537381606,0.05461038737436993,-0.06263971598444566
theories_of_willpower_survey.endorse_limited_resource,-0.05656356583044068,-0.04574700009794754,-0.03264270002306524,-0.23219167025265883,0.0830321746198578,-0.27514671316451556,-0.0630608852136313,0.19747003837531857,0.10159721320668288,-0.22029716008858616,0.021346311269151434,0.07987312529804197
time_perspective_survey.future,-0.0407630774854453,0.1298375972811115,-0.43318124116741197,-0.16336557646154945,0.031350498016966453,0.49898546063570326,0.06573062620361232,0.014194213415099086,-0.04029343427953182,0.01116612625431783,-0.08337812912072604,-0.0156787029570074
time_perspective_survey.past_negative,0.08662012414817356,-0.09961525061997722,-0.10627663048509478,-0.5125368839195041,0.023963643942320215,-0.13647341818504716,0.12872409003157603,0.0770081459147705,0.07490432720753981,0.024114615126657878,-0.04624032948709129,-0.20325907278404232
time_perspective_survey.past_positive,-0.05117245487953082,0.0799584358685981,0.016697658184098324,0.15469513342293595,0.2508804609077059,0.2031363201498862,-0.013876688779624127,0.07620173041581423,0.002190819764542856,-0.22407329792894926,0.007787660369070561,0.3726321666269875
time_perspective_survey.present_fatalistic,0.04880000231391325,-0.02808206505765045,0.27650150906029736,-0.16912892797307247,0.1193859472351223,-0.28398578512064504,0.1033028845069335,0.06947833122796607,0.14544619867243552,-0.2088057905725584,-0.09933531867901044,-0.011169462095957202
time_perspective_survey.present_hedonistic,0.20365433931462001,0.02027783407314785,0.3246110065226996,0.05312056104624433,0.5775633280423491,-0.1324282055750186,0.051461329186719335,0.026031757568632085,0.04566262043091898,0.023087264634455776,0.07786636660432741,0.045303534754758124
upps_impulsivity_survey.lack_of_perseverance,-0.08156737836890411,-0.31851651362340644,0.2729479895238445,-0.17096824120289708,-0.156167322621387,-0.4114724001628048,-0.10997458806540818,-0.011277293284275389,0.006797796954956296,-0.013323972408688791,0.09483335208826406,0.04082387638436331
upps_impulsivity_survey.lack_of_premeditation,0.12223522890604833,-0.07785496739417144,0.7699604855091023,0.10046483921661845,-0.01549764536295814,-0.006942669692238182,-0.023533964653824065,-0.06038899678984698,0.011953658354525012,0.010807327957872662,0.07062397170135457,-0.06866952136708965
upps_impulsivity_survey.negative_urgency,-0.003146779646908012,-0.16014143219682458,0.3985694682064988,-0.36628234454172354,0.14919007876307058,0.03126813335566447,0.03175961709668213,0.2509458454954257,0.11575180582270655,0.05001465631659727,-0.02658176411649679,-0.12793229578035542
upps_impulsivity_survey.positive_urgency,0.07160235936694849,-0.12470683943768555,0.40910059063981563,-0.12007981334042801,0.21293248492143815,0.0938747997237056,-0.01609338668039435,0.21611632679270493,0.1636532188573941,-0.11588964132201246,0.022116260569775694,-0.17161125377355924
upps_impulsivity_survey.sensation_seeking,0.8160697364545252,0.03838744735051636,0.010911162082340095,0.04632335318625584,0.19590718396449475,-0.04036061822298189,-0.027541080736512197,0.02458969223916637,0.015412340098776407,-0.035146913989344025,0.04767231450702331,-0.09523620339227232
